# 2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
nan,nan,nan,nan,nan,nan,nan,nan,-45.4,-33.4,-38.7,-36.2,-19.8,-34.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,-44.7,-33.7,-27.4,-39.0,-20.9,-35.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,-41.6,-35.0,-35.4,-33.9,-31.2,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,-42.0,-42.4,-44.3,-25.9,-37.4,-25.3,nan
nan,nan,nan,nan,nan,nan,nan,nan,-34.1,-46.4,-30.8,-31.2,-22.2,-21.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,-35.8,-43.4,-22.0,-35.6,nan,-14.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,-38.4,-35.9,-27.8,-36.5,-35.6,-22.6,nan
nan,nan,nan,nan,nan,nan,nan,nan,-40.0,-43.7,-27.8,-38.6,-46.0,-37.3,nan
nan,nan,nan,nan,nan,nan,nan,nan,-40.0,-44.5,-25.5,-38.7,-46.1,-34.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,-39.3,-42.7,-23.3,-38.9,-46.6,-33.2,nan
nan,nan,nan,nan,nan,nan,nan,nan,-42.7,-33.7,-20.2,-37.3,-44.2,-32.9,nan
nan,nan,nan,nan,nan,nan,nan,nan,-43.2,-31.6,-41.5,-31.1,-43.9,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,-44.5,-36.2,-43.8,-33.2,-33.4,-23.7,nan
nan,nan,nan,nan,nan,nan,nan,nan,-30.0,-26.8,-41.0,-39.5,-36.5,-18.5,nan
nan,nan,nan,nan,nan,nan,nan,nan,-31.0,-25.5,-34.0,-41.2,-39.9,-34.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,-20.2,-26.4,-32.3,-43.2,-40.5,-44.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,-32.5,-26.8,-34.0,-42.5,-38.0,-46.5,nan
nan,nan,nan,nan,nan,nan,nan,nan,-37.0,-29.8,-37.5,-40.5,-38.9,-38.7,nan
nan,nan,nan,nan,nan,nan,nan,nan,-40.1,-32.7,-36.8,-41.0,-41.6,-49.8,nan
nan,nan,nan,nan,nan,nan,nan,nan,-43.9,-32.2,-36.1,-41.1,-43.5,-51.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,-48.4,-21.4,-31.8,-31.8,-36.4,-49.6,nan
nan,nan,nan,nan,nan,nan,nan,nan,-51.0,-27.8,-39.8,-30.8,-27.4,-44.5,nan
nan,nan,nan,nan,nan,nan,nan,nan,-42.6,-35.9,-41.3,-31.8,-28.1,-43.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,-30.0,-41.5,-40.9,-30.6,-17.6,-45.2,nan
nan,nan,nan,nan,nan,nan,nan,nan,-31.0,-42.5,-37.8,-35.8,-26.4,-42.5,nan
nan,nan,nan,nan,nan,nan,nan,nan,-32.6,-43.7,-28.0,-29.5,-38.5,-40.5,nan
nan,nan,nan,nan,nan,nan,nan,nan,-24.5,-48.9,-30.9,-37.5,-42.0,-38.2,nan
nan,nan,nan,nan,nan,nan,nan,nan,-25.6,-51.0,-35.2,-38.5,-42.5,-36.1,nan
nan,nan,nan,nan,nan,nan,nan,nan,-31.8,-52.2,-20.4,-35.3,-34.6,-28.8,nan
nan,nan,nan,nan,nan,nan,nan,nan,-40.0,-51.9,-19.8,-35.7,-35.1,-33.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,-41.5,-53.0,nan,-37.7,-28.0,-32.9,nan
nan,nan,nan,nan,nan,nan,nan,nan,-45.4,-55.1,-40.6,-38.0,-25.5,-36.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,-46.7,-39.4,-24.3,-38.0,-22.5,-34.9,nan
nan,nan,nan,nan,nan,nan,nan,nan,-43.9,-27.5,-17.0,-29.0,-23.2,-35.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,-49.1,-31.3,-18.6,-21.4,-32.8,-38.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,-49.7,-35.6,-42.2,-27.8,-33.0,-39.7,nan
nan,nan,nan,nan,nan,nan,nan,nan,-39.8,-37.2,-43.1,-23.7,-38.9,-22.9,nan
nan,nan,nan,nan,nan,nan,nan,nan,-35.3,-36.0,-37.4,-30.7,-41.4,-30.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,-37.1,-37.3,-32.0,-32.6,-28.4,-33.1,nan
nan,nan,nan,nan,nan,nan,nan,nan,-36.1,-39.7,-26.0,-22.1,-31.5,-33.3,nan
nan,nan,nan,nan,nan,nan,nan,nan,-27.0,-42.0,-18.9,-31.7,-20.1,-33.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,-37.2,-43.5,-14.3,-40.5,-31.4,-30.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,-38.5,-43.5,-19.9,-42.0,-41.8,-34.7,nan
nan,nan,nan,nan,nan,nan,nan,nan,-38.0,-44.0,-20.8,-31.8,-43.9,-34.7,nan
nan,nan,nan,nan,nan,nan,nan,nan,-24.4,-49.1,-30.1,-26.7,-30.3,-28.3,nan
nan,nan,nan,nan,nan,nan,nan,nan,-29.2,-43.5,-24.6,-29.3,-22.1,-36.9,nan
nan,nan,nan,nan,nan,nan,nan,nan,-43.7,-36.5,-32.9,-23.2,-33.2,-38.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,-47.4,-41.5,-22.7,-23.7,-26.3,-37.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,-42.7,-26.0,-19.9,-35.4,-33.9,-28.5,nan
