# 2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.4,nan,nan
nan,nan,nan,nan,nan,nan,nan,32.4,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,32.5,nan,nan,nan,nan,29.6,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,28.2,28.5,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,23.4,28.5,27.4,24.0,nan,nan,24.3
nan,nan,nan,nan,nan,nan,nan,nan,24.2,26.6,27.8,nan,nan,nan,24.8
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.4,nan,nan
nan,nan,nan,26.8,nan,nan,nan,nan,nan,27.6,27.6,23.8,31.5,26.2,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.0,23.8,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.5,23.4,27.8,nan,nan
nan,nan,nan,nan,nan,24.2,nan,nan,nan,30.0,25.5,24.2,nan,nan,nan
nan,nan,nan,nan,nan,26.4,nan,nan,nan,31.4,25.7,25.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,23.6,32.2,26.0,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,27.0,nan,nan,23.2,nan,27.5
nan,nan,nan,nan,nan,nan,nan,nan,nan,28.6,nan,nan,23.6,26.5,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.0,28.5,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,28.0,30.5,29.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,29.5,29.0,27.8,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,29.2,29.0,nan,29.5,nan,24.4,27.4
nan,nan,nan,nan,nan,nan,nan,nan,30.5,nan,nan,nan,nan,25.0,26.6
nan,nan,nan,nan,nan,nan,nan,nan,nan,28.6,nan,nan,28.8,26.5,27.5
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.8,27.5
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.6,nan
nan,nan,nan,nan,nan,nan,nan,29.4,nan,29.0,28.2,25.2,22.2,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,27.0,29.0,27.6,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,23.5,27.5,29.7,26.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,22.6,28.2,nan,nan,nan,33.0,27.5
nan,nan,nan,nan,nan,nan,nan,28.5,nan,28.2,nan,nan,26.4,32.0,nan
nan,nan,nan,nan,nan,nan,nan,28.7,nan,27.6,nan,nan,27.4,28.3,26.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,25.6,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,28.2,nan,nan,22.4,nan,nan,nan
nan,nan,nan,nan,nan,22.8,nan,nan,nan,23.0,nan,24.0,nan,nan,nan
nan,nan,nan,nan,nan,25.8,nan,26.0,nan,24.2,nan,25.5,nan,nan,nan
nan,nan,nan,nan,nan,26.4,nan,nan,27.2,25.2,nan,nan,nan,nan,23.2
nan,nan,nan,nan,nan,nan,nan,nan,nan,25.2,nan,nan,28.8,29.0,nan
nan,nan,nan,nan,nan,nan,nan,26.5,nan,26.8,nan,nan,31.5,29.6,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,29.4,nan,nan,31.6,29.8,nan
nan,nan,nan,nan,nan,nan,nan,nan,23.0,31.2,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,23.5,32.8,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,21.5,29.3,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,23.2,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,23.2,nan,30.0,nan,nan,23.6,nan,26.4
nan,nan,nan,nan,nan,nan,nan,23.4,25.0,31.0,nan,nan,24.5,30.6,nan
nan,nan,nan,nan,nan,nan,nan,24.5,nan,nan,nan,29.8,25.2,nan,30.5
nan,nan,nan,nan,nan,nan,nan,21.0,26.8,31.2,27.8,30.6,25.5,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,28.0,31.5,28.5,nan,nan,nan,24.4
nan,nan,nan,nan,nan,nan,nan,25.0,28.5,31.3,29.5,31.6,nan,26.4,21.0
nan,nan,nan,nan,nan,nan,nan,25.6,23.0,30.4,30.0,nan,nan,nan,20.6
nan,nan,nan,nan,nan,nan,nan,26.8,nan,30.0,nan,nan,28.2,21.0,21.2
nan,nan,nan,nan,nan,nan,nan,26.6,23.0,30.4,nan,31.0,29.0,22.2,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,29.8,nan,33.2,30.4,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,28.2,30.2,29.8,26.5,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,28.2,27.2,28.6,nan,nan,nan
nan,nan,nan,nan,nan,27.4,nan,nan,nan,nan,26.8,30.4,nan,nan,26.6
nan,nan,nan,nan,nan,nan,nan,29.0,nan,nan,28.0,nan,nan,25.8,nan
nan,nan,nan,nan,nan,nan,nan,24.8,nan,31.8,nan,nan,29.4,nan,nan
nan,nan,nan,nan,nan,nan,nan,27.2,nan,29.6,nan,nan,27.6,nan,nan
nan,nan,nan,nan,nan,nan,nan,27.5,nan,29.2,26.4,32.2,27.7,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.4,nan,26.3,nan,nan
nan,nan,nan,nan,nan,28.0,nan,nan,nan,28.0,21.2,nan,nan,nan,nan
nan,nan,nan,nan,nan,27.5,nan,24.2,29.8,28.0,26.8,nan,nan,nan,29.5
nan,nan,nan,nan,nan,nan,nan,27.2,30.2,29.4,28.8,nan,nan,27.5,28.5
nan,nan,nan,nan,nan,nan,nan,28.0,nan,30.0,nan,nan,28.0,27.8,30.2
nan,nan,nan,nan,nan,nan,nan,28.0,25.2,27.8,nan,23.4,28.4,nan,23.8
30.0,nan,nan,nan,nan,nan,nan,27.2,nan,nan,nan,20.0,nan,nan,nan
nan,nan,nan,nan,nan,25.0,nan,nan,nan,nan,29.5,28.2,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,30.0,28.4,28.2,nan,28.5,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,28.8,nan,29.0,nan,nan,nan,nan,19.4
nan,nan,nan,nan,nan,nan,nan,nan,nan,29.6,30.4,nan,nan,31.5,22.8
nan,nan,nan,nan,nan,nan,nan,28.8,nan,30.0,nan,nan,32.4,31.0,26.2
nan,nan,nan,nan,nan,nan,nan,29.0,nan,29.6,nan,nan,33.5,29.2,26.6
nan,nan,nan,nan,nan,nan,nan,32.2,nan,31.2,nan,31.2,32.8,nan,nan
28.2,nan,nan,nan,nan,nan,nan,nan,nan,29.0,29.0,31.8,33.2,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,30.4,30.0,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,30.4,29.8,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,29.4,30.0,nan,nan,nan,29.8
nan,nan,nan,nan,nan,nan,nan,27.2,nan,31.0,nan,nan,32.8,29.8,29.6
nan,nan,nan,nan,nan,nan,nan,28.4,nan,28.4,nan,nan,32.0,nan,nan
nan,nan,nan,nan,nan,nan,nan,29.0,nan,nan,nan,nan,32.0,nan,28.5
nan,nan,nan,nan,nan,nan,nan,29.5,nan,nan,35.0,nan,30.4,nan,nan
nan,nan,nan,nan,nan,nan,nan,29.8,nan,32.2,33.8,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,28.2,nan,32.7,32.0,nan,nan,nan,32.5
nan,nan,nan,nan,nan,nan,nan,29.0,32.3,30.5,34.5,nan,nan,nan,32.0
31.0,nan,nan,nan,nan,nan,nan,30.2,nan,29.5,nan,nan,30.2,nan,32.0
31.4,nan,nan,nan,nan,nan,nan,30.6,nan,30.0,nan,nan,30.0,nan,31.0
nan,nan,nan,nan,nan,nan,nan,31.0,nan,nan,nan,nan,31.2,nan,nan
nan,nan,nan,nan,nan,nan,nan,31.5,nan,nan,nan,nan,29.4,nan,nan
nan,nan,nan,nan,nan,nan,nan,32.4,nan,32.0,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,33.8,32.2,nan,nan,nan,nan,31.0
nan,nan,nan,nan,nan,nan,nan,27.8,31.4,28.4,nan,nan,nan,nan,30.0
nan,nan,nan,nan,nan,nan,nan,nan,nan,28.8,nan,nan,29.8,nan,31.2
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.2,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.5,nan,nan,29.8
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.8,nan,nan,34.8
nan,nan,nan,nan,nan,nan,nan,nan,nan,37.4,nan,nan,nan,nan,35.7
nan,nan,nan,nan,nan,nan,nan,32.5,nan,34.4,nan,nan,nan,nan,35.8
nan,nan,nan,nan,nan,nan,nan,30.0,nan,34.8,nan,nan,nan,32.0,32.1
nan,nan,nan,nan,nan,nan,nan,28.8,31.0,nan,nan,31.6,nan,nan,31.0
nan,nan,nan,nan,nan,nan,nan,29.0,nan,nan,nan,32.6,nan,nan,28.5
nan,nan,nan,nan,nan,nan,nan,29.0,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,29.6,34.4,nan,32.0,nan,nan,nan
