# 2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0.000,0.000,0.800,0.000,nan,nan,nan,nan,nan,nan
0.600,0.100,0.000,4.300,nan,nan,nan,nan,nan,nan
0.000,0.000,0.000,5.000,nan,nan,nan,nan,nan,nan
0.100,0.000,0.000,4.700,nan,nan,nan,nan,nan,nan
0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan
0.800,0.000,0.000,0.500,nan,nan,nan,nan,nan,nan
0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan
5.800,7.600,0.000,0.600,nan,nan,nan,nan,nan,nan
2.400,7.800,0.000,2.600,nan,nan,nan,nan,nan,nan
1.500,0.000,3.200,0.000,nan,nan,nan,nan,nan,nan
0.000,0.000,0.000,1.300,nan,nan,nan,nan,nan,nan
0.000,0.000,0.800,0.000,nan,nan,nan,nan,nan,nan
0.600,7.700,0.000,5.000,nan,nan,nan,nan,nan,nan
3.600,5.400,4.500,0.000,nan,nan,nan,nan,nan,nan
2.500,4.600,1.800,1.800,nan,nan,nan,nan,nan,nan
8.300,3.600,0.000,0.000,nan,nan,nan,nan,nan,nan
0.900,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan
0.000,0.800,0.000,0.000,nan,nan,nan,nan,nan,nan
0.000,1.900,1.900,0.000,nan,nan,nan,nan,nan,nan
0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan
0.900,0.000,0.600,0.000,nan,nan,nan,nan,nan,nan
2.300,5.100,0.000,4.100,nan,nan,nan,nan,nan,nan
3.300,8.500,3.500,5.400,nan,nan,nan,nan,nan,nan
1.200,8.500,0.000,0.000,nan,nan,nan,nan,nan,nan
2.000,1.100,0.500,7.900,nan,nan,nan,nan,nan,nan
5.000,0.200,4.200,0.700,nan,nan,nan,nan,nan,nan
0.900,5.300,0.200,0.000,nan,nan,nan,nan,nan,nan
0.000,8.800,0.000,0.000,nan,nan,nan,nan,nan,nan
3.300,9.000,0.000,0.000,nan,nan,nan,nan,nan,nan
0.000,9.100,0.000,0.000,nan,nan,nan,nan,nan,nan
0.000,4.000,0.000,0.000,nan,nan,nan,nan,nan,nan
5.500,7.900,4.700,0.000,nan,nan,nan,nan,nan,nan
0.000,8.400,0.000,0.000,nan,nan,nan,nan,nan,nan
0.200,1.300,0.600,8.500,nan,nan,nan,nan,nan,nan
4.200,0.000,0.000,3.400,nan,nan,nan,nan,nan,nan
9.300,1.100,0.000,0.700,nan,nan,nan,nan,nan,nan
8.300,0.000,0.100,0.300,nan,nan,nan,nan,nan,nan
9.100,0.000,0.000,7.500,nan,nan,nan,nan,nan,nan
0.000,0.000,0.000,3.900,nan,nan,nan,nan,nan,nan
0.800,1.100,0.000,3.600,nan,nan,nan,nan,nan,nan
0.000,1.100,0.000,8.300,nan,nan,nan,nan,nan,nan
0.000,1.200,0.000,7.900,nan,nan,nan,nan,nan,nan
0.000,5.200,0.000,6.200,nan,nan,nan,nan,nan,nan
0.200,6.400,0.000,8.800,nan,nan,nan,nan,nan,nan
1.800,0.000,1.600,0.000,nan,nan,nan,nan,nan,nan
0.000,0.000,0.000,3.600,nan,nan,nan,nan,nan,nan
0.000,0.000,7.700,9.800,nan,nan,nan,nan,nan,nan
0.000,0.000,8.500,9.800,nan,nan,nan,nan,nan,nan
1.100,0.000,9.900,5.500,nan,nan,nan,nan,nan,nan
0.000,3.500,0.000,8.900,nan,nan,nan,nan,nan,nan
0.000,0.000,0.000,3.700,nan,nan,nan,nan,nan,nan
0.000,1.600,8.500,0.000,nan,nan,nan,nan,nan,nan
0.100,0.000,2.400,0.000,nan,nan,nan,nan,nan,nan
0.000,0.600,0.600,3.200,nan,nan,nan,nan,nan,nan
7.200,8.800,3.400,9.800,nan,nan,nan,nan,nan,nan
2.500,9.800,0.000,3.600,nan,nan,nan,nan,nan,nan
0.500,0.500,0.000,0.800,nan,nan,nan,nan,nan,nan
5.900,3.100,0.000,0.500,nan,nan,nan,nan,nan,nan
7.700,0.000,1.100,0.700,nan,nan,nan,nan,nan,nan
4.600,0.000,0.000,0.800,nan,nan,nan,nan,nan,nan
9.800,0.200,1.200,0.400,nan,nan,nan,nan,nan,nan
9.600,0.000,0.000,0.100,nan,nan,nan,nan,nan,nan
0.900,1.300,4.800,5.400,nan,nan,nan,nan,nan,nan
3.200,0.100,1.500,8.800,nan,nan,nan,nan,nan,nan
2.800,0.400,1.900,6.100,nan,nan,nan,nan,nan,nan
5.300,2.700,0.600,0.500,nan,nan,nan,nan,nan,nan
0.000,0.500,3.500,0.000,nan,nan,nan,nan,nan,nan
