id,name,latitude,longitude,elev,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
WMO78482,BARAHONA DOMINICAN REPUBLIC,18.20000,-71.10000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO78760,PUNTARENAS COSTA RICA,9.96667,-84.83333,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO80001,SAN ANDRES (ISLA)/SESQUICENTENARIO COLOMBIA,12.58333,-81.71667,6.0,nan,187.9,163.1,142.0,182.9,144.0,165.1,115.0,201.9,198.6,216.6,169.3,151.6,180.0,159.0
WMO80094,BUCARAMANGA/PALONEGRO COLOMBIA,7.10000,-73.20000,1189.0,nan,139.7,150.0,141.6,174.0,127.0,105.9,149.4,143.0,149.3,140.9,128.0,nan,145.9,130.6
WMO80219,GIRARDOT/SANTIAGO VILLA COLOMBIA,4.28333,-74.80000,293.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO80398,LETICIA/VASQUEZ COBO COLOMBIA,-4.16667,-69.95000,84.0,nan,186.0,153.1,188.3,176.0,169.4,168.0,nan,158.3,150.9,nan,nan,nan,137.1,165.0
WMO80420,CUMANA VENEZUELA,10.45000,-64.18333,4.0,nan,255.0,254.4,241.9,265.6,243.9,220.0,246.6,254.4,233.9,nan,nan,232.1,nan,nan
WMO80435,MATURIN VENEZUELA,9.75000,-63.18333,66.0,nan,233.9,244.7,224.9,238.9,233.1,211.4,240.7,226.7,187.3,nan,nan,216.7,nan,nan
WMO80457,PUERTO AYACUCHO VENEZUELA,5.60000,-67.50000,74.0,nan,183.7,194.0,203.9,236.0,nan,172.4,209.7,200.4,191.0,205.0,194.0,134.6,nan,nan
WMO81401,SAINT-LAURENT FRENCH GUIANA,5.48333,-54.01667,5.0,nan,135.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,212.9,167.4,199.6,192.0
WMO82184,PORTO DE MOZ BRAZIL,-1.73333,-52.23333,16.0,nan,271.0,nan,233.3,258.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO82397,FORTALEZA BRAZIL,-3.76667,-38.60000,26.0,nan,308.6,309.9,302.3,297.9,291.0,274.7,302.4,295.7,300.3,nan,nan,283.9,284.9,nan
WMO82586,QUIXERAMOBIM BRAZIL,-5.20000,-39.30000,212.0,nan,295.6,305.3,300.6,281.0,259.0,260.4,300.3,287.1,288.6,nan,nan,nan,267.6,278.1
WMO82900,RECIFE BRAZIL,-8.05000,-34.91667,7.0,nan,287.1,238.6,228.3,256.1,223.9,200.6,199.6,159.7,207.4,254.9,248.1,198.4,232.6,249.1
WMO83236,BARREIRAS BRAZIL,-12.15000,-45.00000,439.0,nan,180.6,266.6,244.0,nan,229.7,180.9,218.9,243.3,236.0,241.7,262.1,nan,219.0,248.3
WMO83437,MONTES CLAROS BRAZIL,-16.71667,-43.86667,646.0,nan,125.3,266.7,244.4,189.0,189.9,144.6,221.0,226.0,228.6,267.1,234.1,nan,192.6,240.0
WMO83618,TRES LAGOAS BRAZIL,-20.78333,-51.70000,313.0,nan,210.0,185.0,202.7,200.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO83726,SAO CARLOS BRAZIL,-22.01667,-47.88333,856.0,nan,196.0,180.6,168.1,162.0,203.0,225.0,217.4,176.9,211.3,156.3,nan,nan,nan,nan
WMO83997,ST.VITORIA DO PALMAR BRAZIL,-33.51667,-53.35000,24.0,nan,218.1,216.9,235.9,191.9,248.4,212.0,184.1,212.9,205.0,170.0,200.3,nan,225.0,nan
WMO84140,PICHILINGUE ECUADOR,-1.10000,-79.45000,nan,nan,nan,nan,37.9,70.3,54.7,57.4,47.7,61.7,48.0,51.0,71.6,60.3,nan,36.7
WMO85033,GUAYARAMERIN BOLIVIA,-10.81667,-65.35000,nan,nan,nan,152.0,203.0,198.1,184.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO85154,TRINIDAD BOLIVIA,-14.81667,-64.91667,nan,nan,nan,169.0,206.0,221.4,198.0,220.9,246.0,151.0,232.0,nan,nan,212.6,197.1,nan
WMO85406,ARICA CHILE,-18.35000,-70.33333,nan,nan,215.9,174.0,215.0,185.0,209.4,227.4,185.9,203.1,192.6,148.3,222.1,202.7,188.6,211.3
WMO85577,QUINTA NORMAL CHILE,-33.43333,-70.66667,nan,nan,226.3,280.3,273.6,209.1,260.1,274.4,237.1,257.0,265.0,215.0,250.0,241.9,243.6,nan
WMO85864,COYHAIQUE CHILE,-45.58333,-73.10000,nan,nan,198.9,210.1,223.6,194.4,195.0,232.6,227.0,239.1,210.4,219.0,209.0,187.9,199.0,nan
WMO86086,PUERTO CASADO PARAGUAY,-22.28333,-57.93333,78.0,nan,nan,nan,nan,nan,230.0,245.4,227.7,187.7,248.7,nan,nan,nan,191.9,220.1
WMO86221,PARAGUARI PARAGUAY,-25.63333,-57.13333,116.0,nan,nan,nan,nan,nan,229.0,240.6,206.4,200.9,233.0,169.4,247.7,220.0,185.4,nan
WMO86285,CAPITAN MEZA PARAGUAY,-26.83333,-55.33333,263.0,nan,nan,nan,nan,nan,231.1,243.4,204.1,225.7,232.0,159.7,221.4,nan,159.0,204.1
WMO86560,COLONIA URUGUAY,-34.45000,-57.76667,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,201.4,226.7,210.6,nan
WMO87078,LAS LOMITAS ARGENTINA,-24.70000,-60.58333,130.0,nan,249.6,213.7,229.3,250.7,245.0,236.1,220.1,205.1,227.4,nan,nan,195.1,165.4,nan
WMO87166,CORRIENTES AERO. ARGENTINA,-27.45000,-58.76667,62.0,nan,282.0,nan,nan,nan,nan,nan,nan,nan,nan,250.0,nan,nan,nan,nan
WMO87289,PASO DE LOS LIBRES AERO ARGENTINA,-29.68333,-57.15000,70.0,nan,243.0,166.1,224.6,216.9,259.9,211.4,200.3,228.6,197.7,163.4,211.4,213.6,199.6,nan
WMO87374,PARANA AERO ARGENTINA,-31.78333,-60.48333,78.0,nan,280.7,241.9,277.3,283.4,285.6,245.3,231.3,271.1,243.0,218.0,229.9,234.4,223.9,204.9
WMO87484,PERGAMINO ARGENTINA,-33.93333,-60.55000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO87550,NUEVE DE JULIO ARGENTINA,-35.45000,-60.88333,76.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO87640,BOLIVAR AERO ARGENTINA,-36.20000,-61.06667,94.0,nan,243.4,230.9,253.6,245.9,285.6,251.3,221.1,237.4,256.9,nan,nan,253.7,234.7,243.4
WMO87692,MAR DEL PLATA AERO ARGENTINA,-37.93333,-57.58333,21.0,nan,100.0,187.4,166.7,207.6,200.1,164.0,166.1,171.6,122.7,126.7,142.3,173.9,162.0,nan
WMO87800,EL BOLSON AERO ARGENTINA,-41.96667,-71.51667,337.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,262.0,nan,nan,nan,nan
WMO87903,LAGO ARGENTINO ARGENTINA,-50.33333,-72.30000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO88903,GRYTVIKEN  SOUTH GEORGIA ISLANDS(UNITED KINGDOM OF GREAT BRITAIN),-54.28333,-36.48333,3.0,nan,264.0,123.4,167.7,169.0,190.9,193.3,142.3,197.3,166.6,nan,nan,nan,nan,nan
WMO89042,SIGNY ISLAND / SOUTH ORKNEY ISL. ANTARCTICA,-60.70000,-45.60000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO89063,VERNADSKY STATIONS OPERATED BY UKRAINE,-65.25000,-64.26667,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,56.0,65.6,85.1,83.9,nan
WMO89606,VOSTOK STATIONS OPERATED BY THE RUSSIAN FEDERATION,-78.45000,106.85000,3489.0,nan,474.1,538.7,557.3,522.9,567.9,533.0,564.6,567.7,520.4,463.0,544.4,510.3,481.7,nan
WMO91275,JOHNSTON ISLAND (WSO AIRPORT) ISLANDS IN THE PACIFIC OCEAN NORTH OF THE EQUATOR,16.70000,-169.50000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO91557,BAUERFIELD (EFATE) VANUATU,-17.70000,168.30000,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO91683,NAUSORI FIJI,-18.05000,178.56667,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO91938,TAHITI-FAAA FRENCH POLYNESIA (SOCIETY ISLANDS),-17.55000,-149.60000,2.0,nan,221.1,203.0,237.6,224.6,219.3,197.9,262.1,242.1,210.6,nan,nan,nan,254.1,221.1
WMO91958,RAPA FRENCH POLYNESIA (AUSTRAL ISLANDS),-27.61667,-144.33333,2.0,nan,112.7,102.7,122.7,142.4,139.1,124.4,144.1,111.0,108.6,139.4,124.3,179.4,178.9,nan
WMO92077,GURNEY W.O. PAPUA NEW GUINEA,-10.31667,150.33333,23.0,nan,170.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO93417,PARAPARAUMU NEW ZEALAND,-40.90000,174.98333,nan,nan,163.0,206.0,207.1,168.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO93986,WAITANGI / CHATHAM ISL. NEW ZEALAND,-44.00000,-176.60000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO94238,TENNANT CREEK AIRPORT AUSTRALIA,-19.63333,134.18333,377.0,nan,331.7,313.3,316.3,323.0,272.6,nan,288.0,309.0,336.3,nan,295.0,nan,nan,nan
WMO94476,OODNADATTA AIRPORT AUSTRALIA,-27.55000,135.43333,117.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO94738,SCONE SCS AUSTRALIA,-32.05000,150.91667,216.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO94926,CANBERRA AIRPORT AUSTRALIA,-35.30000,149.20000,577.0,nan,328.6,285.3,285.9,228.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO95971,GROVE/TAS AUSTRALIA,-42.98333,147.06667,nan,nan,nan,218.6,200.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO96091,TANJUNG PINANG/KIJANG INDONESIA,0.91667,104.53333,18.0,nan,nan,nan,nan,nan,nan,118.0,137.9,155.7,177.0,81.4,94.7,102.9,159.0,154.9
WMO96249,TANJUNG PANDAN/BULUH TUMBANG INDONESIA,-2.75000,107.75000,44.0,nan,197.9,123.7,95.7,122.0,81.0,101.9,93.4,155.6,164.7,160.1,81.7,127.0,138.4,nan
WMO96481,TAWAU MALAYSIA (SABAH AND SARAWAK),4.26667,117.88333,20.0,nan,nan,nan,nan,nan,nan,199.3,200.4,182.0,nan,nan,nan,nan,nan,nan
WMO96615,KETAPANG/KALIMANTAN INDONESIA,-1.85000,109.96667,nan,nan,nan,nan,147.0,174.4,165.9,151.3,170.3,194.9,176.0,nan,nan,169.1,178.3,nan
WMO96745,JAKARTA/OBSERVATORY INDONESIA,-6.18333,106.83333,8.0,nan,207.6,166.9,139.7,179.3,93.0,128.0,142.4,160.7,175.0,191.1,134.9,153.0,165.0,nan
WMO96845,SURAKARTA/JAVA INDONESIA,-7.51667,110.75000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO97014,MENADO/ SAM RATULANGI INDONESIA,1.53333,124.91667,80.0,nan,142.1,170.6,128.9,182.4,176.0,185.3,171.9,173.3,213.9,234.6,163.6,nan,173.6,188.6
WMO97180,UJUNG PANDANG/HASANUDDIN INDONESIA,-5.06667,119.55000,14.0,nan,284.0,221.7,169.1,207.0,167.4,233.0,252.4,253.9,306.7,nan,nan,nan,252.0,272.0
WMO97320,MALI/ALOR ISLAND INDONESIA,-8.13333,124.60000,nan,nan,nan,nan,nan,nan,nan,299.7,315.0,285.0,241.0,nan,nan,230.6,289.9,nan
WMO97460,LABUHA/WEST IRIAN INDONESIA,0.63333,127.50000,nan,nan,265.7,184.9,135.4,230.9,209.1,201.1,235.0,161.7,217.0,nan,nan,nan,197.1,231.1
WMO97690,JAYAPURA/SENTANI INDONESIA,-2.56667,140.48333,99.0,nan,nan,nan,55.1,74.9,74.4,82.1,200.9,130.7,190.9,nan,nan,156.6,139.0,181.0
WMO97810,TUAL/MOLUKKEN INDONESIA,-5.68333,132.75000,nan,nan,237.0,187.1,165.9,199.3,148.1,142.7,154.3,218.0,252.3,nan,nan,nan,109.0,190.1
WMO98425,MANILA PHILIPPINES,14.58333,120.98333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO98836,ZAMBOANGA PHILIPPINES,6.91667,122.05000,6.0,nan,183.4,177.9,164.0,240.0,186.9,218.1,226.4,184.0,200.0,215.6,191.0,nan,nan,nan
